AgentID,5,Threshold,0.75
roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.45738266790466503,1.0,0.0,0.0,0.0
2.0,0.0,0.565906134323732,2.0,0.0,0.0,0.0
3.0,0.0,0.6527249074589856,3.0,0.0,0.0,0.0
4.0,0.0,0.7221799259671885,4.0,0.0,0.0,0.0
5.0,0.0,0.7777439407737508,4.0,1.0,0.0,0.0
6.0,1.0,0.8221951526190006,4.0,2.0,0.0,3.0
7.0,1.0,0.8577561220952005,4.0,3.0,0.0,3.0
8.0,2.0,0.8862048976761604,4.0,4.0,0.0,6.0
9.0,3.0,0.9089639181409284,4.0,5.0,0.0,9.0
10.0,4.0,0.9271711345127427,4.0,6.0,0.0,12.0
11.0,5.0,0.9417369076101941,4.0,7.0,0.0,15.0
12.0,6.0,0.9533895260881553,4.0,8.0,0.0,18.0
13.0,7.0,0.9627116208705242,4.0,9.0,0.0,21.0
14.0,8.0,0.9701692966964194,4.0,10.0,0.0,24.0
15.0,9.0,0.9761354373571355,4.0,11.0,0.0,27.0
16.0,10.0,0.9809083498857084,4.0,12.0,0.0,30.0
17.0,11.0,0.9847266799085668,4.0,13.0,0.0,33.0
18.0,12.0,0.9877813439268535,4.0,14.0,0.0,36.0
19.0,12.0,0.9902250751414827,4.0,15.0,0.0,36.0
20.0,13.0,0.9921800601131862,4.0,16.0,0.0,39.0
21.0,14.0,0.993744048090549,4.0,17.0,0.0,42.0
22.0,15.0,0.9949952384724392,4.0,18.0,0.0,45.0
23.0,16.0,0.9959961907779513,4.0,19.0,0.0,48.0
24.0,17.0,0.996796952622361,4.0,20.0,0.0,51.0
25.0,18.0,0.9974375620978888,4.0,21.0,0.0,54.0
26.0,19.0,0.997950049678311,4.0,22.0,0.0,57.0
27.0,20.0,0.9983600397426489,4.0,23.0,0.0,60.0
28.0,21.0,0.9986880317941191,4.0,24.0,0.0,63.0
29.0,22.0,0.9989504254352953,4.0,25.0,0.0,66.0
30.0,23.0,0.9991603403482363,4.0,26.0,0.0,69.0
31.0,24.0,0.999328272278589,4.0,27.0,0.0,72.0
32.0,25.0,0.9994626178228712,4.0,28.0,0.0,75.0
33.0,26.0,0.9995700942582969,4.0,29.0,0.0,78.0
34.0,27.0,0.9996560754066375,4.0,30.0,0.0,81.0
35.0,28.0,0.9997248603253099,4.0,31.0,0.0,84.0
36.0,29.0,0.999779888260248,4.0,32.0,0.0,87.0
37.0,30.0,0.9998239106081984,4.0,33.0,0.0,90.0
38.0,31.0,0.9998591284865588,4.0,34.0,0.0,93.0
39.0,32.0,0.999887302789247,4.0,35.0,0.0,96.0
40.0,33.0,0.9999098422313976,4.0,36.0,0.0,99.0
41.0,34.0,0.999927873785118,4.0,37.0,0.0,102.0
42.0,35.0,0.9999422990280944,4.0,38.0,0.0,105.0
43.0,36.0,0.9999538392224755,4.0,39.0,0.0,108.0
44.0,37.0,0.9999630713779804,4.0,40.0,0.0,111.0
45.0,38.0,0.9999704571023843,4.0,41.0,0.0,114.0
46.0,39.0,0.9999763656819074,4.0,42.0,0.0,117.0
47.0,40.0,0.9999810925455259,4.0,43.0,0.0,120.0
48.0,41.0,0.9999848740364208,4.0,44.0,0.0,123.0
49.0,42.0,0.9999878992291367,4.0,45.0,0.0,126.0
50.0,43.0,0.9999903193833093,4.0,46.0,0.0,129.0
51.0,44.0,0.9999922555066474,4.0,47.0,0.0,132.0
52.0,45.0,0.9999938044053179,4.0,48.0,0.0,135.0
53.0,46.0,0.9999950435242544,4.0,49.0,0.0,138.0
54.0,47.0,0.9999960348194035,4.0,50.0,0.0,141.0
55.0,48.0,0.9999968278555228,4.0,51.0,0.0,144.0
56.0,49.0,0.9999974622844182,4.0,52.0,0.0,147.0
57.0,50.0,0.9999979698275345,4.0,53.0,0.0,150.0
